,TARGET,SK_ID_CURR,CODE_GENDER,AGE,CNT_FAM_MEMBERS,CNT_CHILDREN,DAYS_EMPLOYED_PERC,NAME_TYPE_SUITE,NAME_FAMILY_STATUS,AMT_INCOME_TOTAL,AMT_GOODS_PRICE,BURO_CREDIT_ACTIVE_Sold_MEAN,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,DEF_30_CNT_SOCIAL_CIRCLE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_EDUCATION_TYPE_High education,NAME_EDUCATION_TYPE_Low education,NAME_EDUCATION_TYPE_Medium education,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE_Electricity,ORGANIZATION_TYPE_Government/Industry,ORGANIZATION_TYPE_Medicine,ORGANIZATION_TYPE_Other/Construction/Agriculture,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade/Business,OCCUPATION_TYPE_Accountants/HR staff/Managers,OCCUPATION_TYPE_Core/Sales staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Tech Staff
27864,0,439927,0,33.85753424657534,4.0,2,0.1988994983006959,0,1,202500.0,297000.0,0.0,0.6818181818181818,50625.0,0.154,0.105,0.0,0.2544589694478388,0.7109518909391596,0.6413682574954046,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9233,0,212142,1,52.96164383561644,1.0,0,0.2860172779473385,0,0,202500.0,585000.0,0.0,0.3461538461538461,202500.0,0.1444444444444444,0.05,0.0,0.5270187504720107,0.5367930665347463,0.2793353208976285,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10659,0,229438,0,32.298630136986304,2.0,0,0.1670201034863007,0,1,225000.0,702000.0,0.0,0.2295937109690691,112500.0,0.12792,0.0293696275071633,0.0,0.1574469667442202,0.4331937312104221,0.4920600938649263,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18510,1,327278,0,25.48493150684932,2.0,0,0.100193506772737,1,1,202500.0,450000.0,0.0,0.3715323645970937,101250.0,0.1315555555555555,0.0488771466314399,1.0,0.1197899050174097,0.238186447233811,0.3016248916841194,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22090,0,371119,1,53.46027397260274,2.0,0,0.0857377133193255,0,1,202500.0,1620000.0,0.0,0.125,101250.0,0.2116666666666666,0.0264583333333333,0.0,0.8426322300040161,0.6098795586082937,0.5585066276769286,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1906,0,123497,1,40.75342465753425,2.0,0,0.509781512605042,0,1,135000.0,225000.0,0.0,0.6,67500.0,0.1290666666666666,0.07744,0.0,0.6974093299220887,0.3563033806458395,0.6246146584503397,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16009,1,295825,0,33.62739726027397,1.0,0,0.1986312530552387,0,0,135000.0,450000.0,0.0,0.3,135000.0,0.2255,0.06765,0.0,0.136769867529227,0.3995129577462631,0.6610235391308081,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15875,0,293909,0,28.013698630136982,3.0,1,0.0589731051344743,0,1,157500.0,720000.0,0.0,0.21875,52500.0,0.1336571428571428,0.0292375,0.0,0.1142325183735223,0.6548734590431866,0.3589512285783967,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14547,0,277695,1,53.98630136986301,2.0,0,0.5874651103780766,0,1,315000.0,225000.0,0.0,1.1075949367088609,157500.0,0.0508285714285714,0.0562974683544303,0.0,0.8200799349581455,0.7017768622665151,0.6195277080511546,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19662,0,341310,1,45.602739726027394,4.0,2,0.5398618203664765,0,1,135000.0,225000.0,0.0,0.6,33750.0,0.0833333333333333,0.05,0.0,0.8423589269535344,0.744881538147575,0.7557400501752248,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13361,0,263013,1,48.67397260273973,2.0,0,0.005741303613644,1,1,225000.0,945000.0,0.0,0.1923846461661587,112500.0,0.18728,0.0360297965339982,0.0,0.4495293114127089,0.5498306743913218,0.1634256947313434,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17205,0,310744,0,57.71232876712329,2.0,0,0.2379776881082364,0,1,450000.0,945000.0,0.0,0.4412439549578171,225000.0,0.12684,0.0559673832468495,0.0,0.7743245715790409,0.6806730150519902,0.5744466170995097,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10604,0,228783,1,47.64383561643836,1.0,0,0.0755031627372053,0,0,126000.0,675000.0,0.0,0.1866666666666666,126000.0,0.1934642857142857,0.0361133333333333,0.0,0.8442232792489172,0.596170701796777,0.4794489811780563,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28668,0,450240,0,41.75616438356165,2.0,0,0.202939439669313,0,1,157500.0,450000.0,0.0,0.3021408839779005,78750.0,0.2607142857142857,0.0787724447513812,0.0,0.4133250254824817,0.6702667794337254,0.7713615919194317,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16493,0,302017,1,40.08493150684932,3.0,1,0.146538172373727,0,1,135000.0,927000.0,0.0,0.134450166045955,45000.0,0.5000333333333333,0.067229564695179,0.0,0.3381788749226562,0.6789880773420366,0.3506958432829587,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8327,0,201174,1,33.07397260273972,3.0,1,0.2560470510271703,0,1,360000.0,1372500.0,0.0,0.2344432266421282,120000.0,0.162825,0.0381732183780045,0.0,0.6379817682868199,0.7149304139385761,0.6658549219640212,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25207,0,408048,1,42.63835616438356,1.0,0,0.0444644348775942,0,0,112500.0,135000.0,0.0,0.7361601884570083,112500.0,0.13548,0.0997349823321554,0.0,0.2415384376623902,0.7067412244762169,0.363945238612397,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28006,0,441624,1,36.19178082191781,3.0,1,0.0096139288417865,0,1,256500.0,693000.0,0.0,0.2651360101216835,85500.0,0.1341228070175438,0.0355607859189521,0.0,0.6781685153489251,0.6321392282020271,0.656158373001177,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22470,0,375528,1,56.44383561643836,2.0,0,0.2264343267643918,0,1,225000.0,1350000.0,0.0,0.1666666666666666,112500.0,0.16558,0.0275966666666666,0.0,0.8405807449272809,0.6963809006811679,0.5832379256761245,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
596,0,107090,1,41.58082191780822,2.0,1,0.5130131119457073,0,0,58500.0,238500.0,0.0,0.1724435247456458,29250.0,0.2208461538461538,0.0380834891957499,0.0,0.6657381265409322,0.5191321393246111,0.6940926425266661,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7432,1,190104,1,39.3041095890411,4.0,2,0.0124076397602119,0,1,90000.0,553500.0,0.1666666666666666,0.1453361625439642,22500.0,0.35275,0.0512673313373833,1.0,0.3344892095687352,0.6134739044199051,0.3474182272002641,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8058,0,197884,0,46.00821917808219,2.0,0,0.0366819508128386,0,1,225000.0,1107000.0,0.0,0.1774818169878496,112500.0,0.16532,0.0293412939844312,0.0,0.5854688658812975,0.3824930145972731,0.6058362647264226,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19549,0,340043,1,34.394520547945206,4.0,2,0.0438903935000796,1,1,148500.0,427500.0,0.0,0.3473684210526316,37125.0,0.080030303030303,0.0278,0.0,0.4490809435171953,0.6636170897493769,0.0005272652387098,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1984,0,124425,0,47.1945205479452,4.0,2,0.2542087542087542,0,1,450000.0,675000.0,0.0,0.6666666666666666,112500.0,0.075,0.05,0.0,0.6312548375220071,0.7543008186433482,0.3740208032583212,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
21400,0,362741,1,40.93972602739726,2.0,0,0.1143010105065917,0,1,225000.0,675000.0,0.0,0.3333333333333333,112500.0,0.15,0.05,0.0,0.5646795027762392,0.6590573930868678,0.0005272652387098,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10548,0,228037,0,53.74246575342466,1.0,0,0.0151407014681892,0,0,175500.0,1377000.0,0.0,0.1216693028348947,175500.0,0.4182564102564102,0.0508889658421231,0.0,0.6841809672256223,0.7021428594587019,0.1547436312725944,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26496,1,423360,0,44.1945205479452,3.0,1,0.3275060442625999,1,1,157500.0,1125000.0,0.0,0.14,52500.0,0.2096857142857142,0.029356,0.0,0.3593776679489664,0.5195360846800955,0.7675231046555077,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16072,0,296553,1,32.057534246575344,2.0,0,0.1011024698743697,0,1,225000.0,675000.0,0.1666666666666666,0.3088707684704719,112500.0,0.21636,0.0668272794662713,0.0,0.5120222376312435,0.5880375742622299,0.4329616670974407,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2009,0,124703,1,40.586301369863016,2.0,0,0.0332118266504657,0,1,135000.0,675000.0,0.0,0.1669449081803005,67500.0,0.1942,0.0324207011686143,0.0,0.727168587016673,0.1542911029794692,0.4418358231994413,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
21220,0,360523,1,37.76712328767123,4.0,2,0.3888284367065651,0,1,135000.0,463500.0,0.0,0.2168413444163353,33750.0,0.1666,0.0361257679797614,0.0,0.1696632401737897,0.4721877222183862,0.5513812618027899,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2856,0,135272,0,33.726027397260275,4.0,2,0.1694557270511779,1,1,202500.0,675000.0,0.0,0.2504173622704507,50625.0,0.1473555555555555,0.036900389538119,0.0,0.3663237290345021,0.4526532450536987,0.2721336844147212,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25991,0,417502,1,32.31232876712329,2.0,1,0.0841953535696116,0,0,157500.0,454500.0,0.0,0.3465346534653465,78750.0,0.0939142857142857,0.0325445544554455,0.0,0.3297970343868607,0.2184280315084902,0.5513812618027899,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9983,0,221050,1,39.58904109589041,2.0,0,0.1302422145328719,0,1,202500.0,238500.0,0.0,0.7087283837842946,101250.0,0.1098222222222222,0.0778341260591552,0.0,0.7313050423702944,0.511360137230758,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
21775,1,367556,1,47.0,2.0,0,0.2051879918391139,0,1,450000.0,630000.0,0.0,0.7142857142857143,225000.0,0.1109,0.0792142857142857,0.0,0.3730570012774148,0.6335060458462063,0.237916079507114,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25329,0,409530,0,41.69315068493151,2.0,0,0.1922723091076357,0,1,180000.0,468000.0,0.0,0.3437755145889734,90000.0,0.14065,0.0483520261269391,0.0,0.4627295628667714,0.6320527777553941,0.7700870700124128,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3191,0,139281,1,45.586301369863016,2.0,0,0.285533986417453,0,1,225000.0,675000.0,0.0,0.3206361421059381,112500.0,0.30382,0.0974156726946261,1.0,0.6437554915931646,0.607942367520484,0.2955826421513093,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
21498,0,364097,1,27.747945205479454,2.0,0,0.0749407582938388,0,1,90000.0,810000.0,0.0,0.1111111111111111,45000.0,0.3247,0.0360777777777777,0.0,0.5339186783620349,0.3861149239309677,0.5154953751603267,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15880,0,294006,1,48.02739726027397,2.0,0,0.0337136337706788,0,1,270000.0,1129500.0,0.0,0.2111694564498191,135000.0,0.1705833333333333,0.0360219897793983,0.0,0.7909056560292714,0.4798126842433838,0.5388627065779676,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14723,0,279635,1,39.56712328767123,4.0,2,0.2601440243733555,0,1,112500.0,135000.0,0.0,0.7817385866166354,28125.0,0.13892,0.1085991244527829,0.0,0.5555455112041139,0.3190166371441061,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14536,0,277558,0,28.44657534246576,1.0,0,0.0100163729172686,0,0,180000.0,265500.0,0.0,0.6132147784761612,180000.0,0.1532,0.0939445040625479,0.0,0.2487681742728626,0.7169050617654644,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8921,0,208074,0,36.71232876712329,3.0,1,0.0299253731343283,0,1,135000.0,477000.0,0.0,0.2362427945947648,45000.0,0.1375,0.0324833842567801,0.0,0.3731066210144204,0.4298839073894213,0.3859146722745145,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7893,0,195826,0,37.64109589041096,2.0,0,0.2908508625081883,0,1,157500.0,688500.0,0.0,0.2287581699346405,78750.0,0.2240285714285714,0.0512483660130718,0.0,0.2553370043278091,0.2991332508042556,0.6397075677637197,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3865,0,147181,1,31.753424657534246,2.0,0,0.2314926660914581,0,1,90000.0,139500.0,0.0,0.5104124132298897,45000.0,0.1309,0.0668129848917925,0.0,0.2162090250229685,0.5132232198459246,0.3791004853998145,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15281,0,286504,0,26.731506849315068,2.0,0,0.053192579686379,0,1,162000.0,450000.0,0.0,0.297225891677675,81000.0,0.1644444444444444,0.0488771466314399,0.0,0.1029535885748231,0.4573329133901418,0.3774042489507649,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3858,0,147095,1,36.0986301369863,5.0,3,0.2064359441408621,0,1,202500.0,810000.0,0.0,0.2316530763528539,40500.0,0.2306222222222222,0.0534243472531093,0.0,0.7076975219290068,0.7003148810539424,0.5316861425197883,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
24349,0,397924,1,40.63835616438356,4.0,2,0.4239870558888964,0,1,126000.0,1575000.0,0.0,0.0715051841258491,31500.0,0.3845714285714285,0.0274988508095408,1.0,0.513892744971442,0.74778776125682,0.4365064990977374,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5933,0,171868,1,40.465753424657535,2.0,0,0.135680433310765,0,1,63000.0,180000.0,0.0,0.35,31500.0,0.2846428571428571,0.099625,0.0,0.4367824415773145,0.4883868193704342,0.5744466170995097,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4733,0,157263,0,44.21917808219178,1.0,0,0.0269516728624535,0,0,112500.0,45000.0,0.0,2.208480565371025,112500.0,0.05372,0.1186395759717314,0.0,0.3570731552610469,0.5983010552786248,0.6577838002083306,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22627,0,377420,0,28.115068493150684,1.0,0,0.2297797700253362,0,0,225000.0,472500.0,0.0,0.3974878766197631,225000.0,0.09806,0.0389776611813339,0.0,0.2880829926030606,0.6011357488502407,0.8128226070575616,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8503,0,203079,0,39.43287671232877,4.0,2,0.0724657819773501,0,1,90000.0,135000.0,0.0,0.6666666666666666,22500.0,0.11605,0.0773666666666666,0.0,0.2893791366875097,0.5769872541949774,0.5902333386185574,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21102,0,359081,1,24.263013698630136,1.0,0,0.0422312556458897,0,0,119250.0,202500.0,0.0,0.5888888888888889,119250.0,0.0849056603773584,0.05,0.0,0.4072575057349429,0.5481847059360629,0.5585066276769286,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1627,0,120056,0,46.38904109589041,2.0,0,0.2773446728088826,1,1,360000.0,702000.0,0.0,0.3673499375505106,180000.0,0.0968,0.0355594739548894,0.0,0.7421549425109818,0.5643922189635214,0.6817058776720116,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18926,0,332258,0,23.04383561643836,1.0,0,0.1115206277493758,0,0,225000.0,450000.0,0.0,0.5,225000.0,0.10614,0.05307,0.0,0.2671788063475712,0.3906184141572775,0.6296742509538716,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6654,0,180786,1,27.304109589041097,2.0,1,0.2711218141681717,0,0,135000.0,225000.0,0.0,0.6,67500.0,0.0833333333333333,0.05,0.0,0.4456477133613668,0.3085828040517854,0.5709165417729987,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
251,0,103110,1,40.2054794520548,1.0,0,0.1398296422487223,0,0,270000.0,675000.0,0.0,0.4,270000.0,0.1975166666666666,0.0790066666666666,0.0,0.7213076171533825,0.7813616771573793,0.4014074137749511,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8906,0,207847,0,26.312328767123287,2.0,0,0.2239691795085381,1,1,225000.0,720000.0,0.0,0.2373177399756986,112500.0,0.16456,0.0390530072904009,0.0,0.1780593467166696,0.6316254863422041,0.3506958432829587,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28377,0,446324,1,24.70684931506849,2.0,0,0.0978043912175648,0,1,112500.0,225000.0,0.0,0.5,56250.0,0.10672,0.05336,1.0,0.313405095631901,0.488430531030339,0.3062022983135042,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9832,0,219113,0,39.2027397260274,4.0,2,0.1609476553218254,0,1,315000.0,1363500.0,0.0,0.231023102310231,78750.0,0.1269714285714285,0.0293333333333333,0.0,0.3320517068050117,0.723138196715902,0.7610263695502636,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
16654,1,303960,1,37.35342465753425,3.0,1,0.0553029191726565,1,1,65250.0,103500.0,0.0909090909090909,0.4787690682163376,21750.0,0.1153103448275862,0.055207026348808,0.0,0.5301178879924671,0.4892119061667858,0.4578995512067301,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19099,0,334348,1,27.473972602739725,1.0,0,0.1427004387714399,0,0,225000.0,198000.0,0.0,0.9809691975671964,225000.0,0.10762,0.1055719050421816,0.0,0.7980838029488294,0.4395616398997813,0.520897599048938,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13087,0,259391,1,31.854794520547944,3.0,1,0.0311344284854218,0,1,180000.0,450000.0,0.0,0.3453038674033149,60000.0,0.157825,0.0544975828729281,0.0,0.4804730157849795,0.7592915005238029,0.6512602186973006,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
496,0,105985,0,31.88219178082192,2.0,0,0.0108275328692962,0,1,225000.0,202500.0,0.0,1.1111111111111112,112500.0,0.045,0.05,0.0,0.3261207254464593,0.7232782738571434,0.7091891096653581,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18318,0,324919,0,43.11232876712329,3.0,1,0.2278215556685307,0,1,225000.0,450000.0,0.0,0.4316298342541436,75000.0,0.1213,0.0523566988950276,0.0,0.6312836433459433,0.7365412017065733,0.7981372313187245,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10195,0,223566,1,34.46849315068493,2.0,0,0.1174787377791908,1,1,180000.0,679500.0,0.0,0.2649006622516556,90000.0,0.150425,0.0398476821192053,0.0,0.0802953053463126,0.0177412531069315,0.4992720153045617,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19577,0,340329,0,53.56164383561644,2.0,0,0.5592838874680307,0,1,180000.0,1350000.0,0.0,0.1333333333333333,90000.0,0.198575,0.0264766666666666,0.0,0.6535397295902073,0.5546484676653088,0.6577838002083306,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21386,0,362477,1,33.02191780821918,3.0,1,0.1130009126358582,1,1,67500.0,454500.0,0.0,0.1485148514851485,22500.0,0.4138666666666666,0.0614653465346534,0.0,0.6758509584793913,0.3981235583087968,0.5280927512030451,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22,0,100265,1,22.745205479452054,1.0,0,0.0334859070103589,0,0,112500.0,585000.0,0.0,0.1553875988265128,112500.0,0.31076,0.0482882502113271,0.0,0.3891381501043357,0.5777182931688097,0.3944954053123993,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10570,0,228364,1,32.654794520547945,3.0,1,0.0250020974914002,0,1,99000.0,454500.0,0.0,0.2178217821782178,33000.0,0.2022272727272727,0.044049504950495,1.0,0.4132457193185333,0.3259490198644926,0.375711009574066,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27789,0,439084,1,48.465753424657535,1.0,0,0.0816845675522894,0,0,225000.0,630000.0,0.0,0.3571428571428571,225000.0,0.14,0.05,0.0,0.6898450146711277,0.6725439038369067,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4158,0,150349,0,30.638356164383563,3.0,1,0.1640883483859429,0,1,202500.0,450000.0,0.0,0.45,67500.0,0.2204444444444444,0.0992,0.0,0.4986371183208215,0.6559599719794063,0.7281412993111438,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1450,0,117917,1,49.09315068493151,2.0,0,0.0433617947430102,0,1,180000.0,450000.0,0.0,0.333889816360601,90000.0,0.153125,0.051126878130217,0.0,0.6484889466824723,0.4721550224546355,0.221335206354466,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13885,0,269485,0,23.52054794520548,2.0,0,0.0319161327897495,0,1,157500.0,436500.0,0.0,0.3608247422680412,78750.0,0.1852,0.0668247422680412,0.0,0.7108871845510191,0.6577639203026737,0.4048783643353997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
17592,0,315858,1,34.86027397260274,2.0,0,0.0934454574033322,1,1,202500.0,675000.0,0.0,0.3,101250.0,0.1708444444444444,0.0512533333333333,1.0,0.3593654575616053,0.4344237095652441,0.5638350489514956,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28848,0,452723,1,46.11232876712329,2.0,0,0.0988651892341512,0,1,202500.0,585000.0,0.0,0.3461538461538461,101250.0,0.1444444444444444,0.05,0.0,0.6555903900442049,0.6750768012581112,0.2881295999178507,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27827,0,439567,0,48.227397260273975,1.0,0,0.0283474407771402,0,0,225000.0,135000.0,0.0,1.6666666666666667,225000.0,0.03,0.05,1.0,0.2739685063134312,0.631579692851382,0.2822484337007223,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19710,0,341918,0,44.74794520547945,3.0,1,0.0215514602338823,0,1,247500.0,225000.0,0.0,1.1,82500.0,0.0342727272727272,0.0377,0.0,0.5379923834196016,0.5663911165052102,0.3859146722745145,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16650,0,303908,0,32.0,3.0,1,0.2259417808219178,0,1,315000.0,688500.0,0.0,0.408935832125999,105000.0,0.1252714285714285,0.0512279758844697,0.0,0.7687796965571823,0.6277195318825608,0.6246146584503397,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
24168,0,395987,1,29.134246575342463,3.0,1,0.0170208764340793,0,1,90000.0,180000.0,0.0,0.5,30000.0,0.1,0.05,0.0,0.4725770527964814,0.4951802309141991,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
16883,0,306671,1,26.51780821917808,2.0,0,0.0158074181217067,0,1,225000.0,976500.0,0.0,0.2177671894530994,112500.0,0.24988,0.0544156653005405,0.0,0.5027717681042861,0.3737876191564401,0.5884877883422673,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
